open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
181.03,181.78,179.26,180.95,61945900.0,181.78,179.26,180.95,181.03,61996913.0,1.0,0.0,AAPL,XNAS,2023-06-02
334.25,337.5,332.55,335.4,25864000.0,337.5,332.55,335.4,334.247,25873769.0,1.0,0.0,MSFT,XNAS,2023-06-02
400.97,405.0,390.58,393.27,48165500.0,405.0,390.5801,393.27,400.97,48273121.0,1.0,0.0,NVDA,XNAS,2023-06-02
210.15,217.25,209.752,213.97,164398372.0,217.25,209.752,213.97,210.15,164398372.0,1.0,0.0,TSLA,XNAS,2023-06-02
177.7,180.12,176.9306,180.09,65573428.0,180.12,176.9306,180.09,177.7,68901809.0,1.0,0.0,AAPL,XNAS,2023-06-01
325.93,333.53,324.72,332.58,26761000.0,333.53,324.72,332.58,325.93,26773851.0,1.0,0.0,MSFT,XNAS,2023-06-01
384.89,400.5,383.4,397.7,63479000.0,400.5,383.4,397.7,384.89,63587295.0,1.0,0.0,NVDA,XNAS,2023-06-01
202.59,209.8,199.37,207.52,148029931.0,209.8,199.37,207.52,202.59,148029931.0,1.0,0.0,TSLA,XNAS,2023-06-01
177.325,179.35,176.77,177.25,99012399.0,179.35,176.76,177.25,177.325,99313268.0,1.0,0.0,AAPL,XNAS,2023-05-31
332.29,335.94,327.33,328.39,45931000.0,335.94,327.33,328.39,332.29,45546858.0,1.0,0.0,MSFT,XNAS,2023-05-31
394.88,402.95,378.22,378.34,100125200.0,402.95,378.22,378.34,394.88,99882681.0,1.0,0.0,NVDA,XNAS,2023-05-31
199.78,203.95,195.12,203.93,150711736.0,203.95,195.12,203.93,199.78,149356274.0,1.0,0.0,TSLA,XNAS,2023-05-31
176.96,178.99,176.57,177.3,55886200.0,178.99,176.57,177.3,176.96,55964401.0,1.0,0.0,AAPL,XNAS,2023-05-30
335.23,335.74,330.52,331.21,29472500.0,335.74,330.52,331.21,335.23,29503070.0,1.0,0.0,MSFT,XNAS,2023-05-30
405.95,419.38,399.49,401.11,92151400.0,419.38,399.49,401.11,405.95,92340110.0,1.0,0.0,NVDA,XNAS,2023-05-30
200.1,204.48,197.53,201.16,128818746.0,204.48,197.53,201.16,200.1,128818746.0,1.0,0.0,TSLA,XNAS,2023-05-30
173.32,175.77,173.11,175.43,54834975.0,175.77,173.11,175.43,173.32,54834975.0,1.0,0.0,AAPL,XNAS,2023-05-26
324.02,333.4,323.88,332.89,36630633.0,333.4,323.88,332.89,324.02,36630633.0,1.0,0.0,MSFT,XNAS,2023-05-26
378.9,391.7,375.5,389.46,71439676.0,391.7,375.5,389.46,378.9,71439676.0,1.0,0.0,NVDA,XNAS,2023-05-26
184.62,198.6,184.53,193.17,162061496.0,198.6,184.53,193.17,184.62,162061496.0,1.0,0.0,TSLA,XNAS,2023-05-26
172.41,173.895,171.69,172.99,51339520.0,173.895,171.69,172.99,172.41,56058258.0,1.0,0.0,AAPL,XNAS,2023-05-25
323.24,326.9,320.0,325.92,43231800.0,326.9,320.0,325.92,323.24,43301743.0,1.0,0.0,MSFT,XNAS,2023-05-25
385.23,394.8,366.35,379.8,154241200.0,394.8,366.35,379.8,385.23,154391067.0,1.0,0.0,NVDA,XNAS,2023-05-25
186.54,186.78,180.58,184.47,96870719.0,186.78,180.58,184.47,186.54,96870719.0,1.0,0.0,TSLA,XNAS,2023-05-25
171.09,172.41,170.535,171.84,44691310.0,172.4183,170.52,171.84,171.09,45143488.0,1.0,0.0,AAPL,XNAS,2023-05-24
314.73,316.5,312.61,313.85,23219600.0,316.5,312.61,313.85,314.73,23384887.0,1.0,0.0,MSFT,XNAS,2023-05-24
302.1,306.07,298.06,305.38,72141852.0,306.07,298.06,305.38,302.1,72141851.0,1.0,0.0,NVDA,XNAS,2023-05-24
182.23,184.22,178.22,182.9,137605054.0,184.22,178.22,182.9,182.23,137605054.0,1.0,0.0,TSLA,XNAS,2023-05-24
173.13,173.38,171.28,171.56,50747300.0,173.3794,171.275,171.56,173.13,50747263.0,1.0,0.0,AAPL,XNAS,2023-05-23
320.03,322.72,315.25,315.26,30797200.0,322.72,315.25,315.26,320.03,30797173.0,1.0,0.0,MSFT,XNAS,2023-05-23
310.0,312.88,306.31,306.88,35625300.0,312.88,306.31,306.88,310.0,35625326.0,1.0,0.0,NVDA,XNAS,2023-05-23
186.2,192.96,185.26,185.77,156952094.0,192.96,185.26,185.77,186.2,156952130.0,1.0,0.0,TSLA,XNAS,2023-05-23
173.98,174.71,173.45,174.2,43570900.0,174.71,173.45,174.2,173.98,43570932.0,1.0,0.0,AAPL,XNAS,2023-05-22
318.6,322.59,318.01,321.18,24115700.0,322.59,318.01,321.18,318.6,24115664.0,1.0,0.0,MSFT,XNAS,2023-05-22
309.01,315.2,306.8,311.76,37200000.0,315.2,306.8,311.76,309.01,37199967.0,1.0,0.0,NVDA,XNAS,2023-05-22
180.7,189.32,180.11,188.87,132001406.0,189.32,180.11,188.87,180.7,132001430.0,1.0,0.0,TSLA,XNAS,2023-05-22
176.39,176.39,174.94,175.16,55772400.0,176.39,174.94,175.16,176.39,55809475.0,1.0,0.0,AAPL,XNAS,2023-05-19
316.74,318.75,316.37,318.34,27529500.0,318.75,316.37,318.34,316.74,27546701.0,1.0,0.0,MSFT,XNAS,2023-05-19
315.36,315.8,309.16,312.64,47312400.0,315.8,309.16,312.64,315.36,47390765.0,1.0,0.0,NVDA,XNAS,2023-05-19
177.17,181.95,176.31,180.14,136196703.0,181.95,176.31,180.14,177.17,136196668.0,1.0,0.0,TSLA,XNAS,2023-05-19
173.0,175.24,172.58,175.05,65496700.0,175.24,172.58,175.05,173.0,65496657.0,1.0,0.0,AAPL,XNAS,2023-05-18
314.53,319.04,313.72,318.52,27276000.0,319.04,313.72,318.52,314.53,27275991.0,1.0,0.0,MSFT,XNAS,2023-05-18
304.1,318.28,303.2,316.78,74872500.0,318.28,303.2,316.78,304.1,74872501.0,1.0,0.0,NVDA,XNAS,2023-05-18
174.22,177.06,172.45,176.89,109520305.0,177.06,172.45,176.89,174.22,109520332.0,1.0,0.0,TSLA,XNAS,2023-05-18
171.71,172.93,170.42,172.69,57951600.0,172.925,170.4201,172.69,171.71,57951604.0,1.0,0.0,AAPL,XNAS,2023-05-17
312.29,314.43,310.74,314.0,24315000.0,314.43,310.74,314.0,312.29,24315012.0,1.0,0.68,MSFT,XNAS,2023-05-17
